FileType=PCF
NHL=14
Date=03/12/19	14:49:56
Facility=APL
Serial=16071-1
Customer=NASA
NP=6
Mach=0.080000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  3.17210	  1.35219	  1.42036	  1.38083	  1.35905	  0.06196	  3.16568	711.06000	 23.20	
  1.691	128.401	  3.17062	  1.25892	  1.48987	  1.48928	  1.22958	  0.05784	  3.16461	711.10999	 23.20	
  1.692	 77.194	  3.17223	  1.38031	  1.37389	  1.51004	  1.21637	  0.06429	  3.16493	711.12000	 23.20	
  1.699	 26.182	  3.17196	  1.48283	  1.28150	  1.42639	  1.30021	  0.06527	  3.16485	711.06000	 23.20	
  1.699	-26.182	  3.16916	  1.47321	  1.28866	  1.30686	  1.42020	  0.06274	  3.16380	711.06000	 23.20	
  1.692	-77.194	  3.17146	  1.37499	  1.38492	  1.23410	  1.49309	  0.05594	  3.16551	711.54999	 23.20	
  1.691	-128.401	  3.16930	  1.24832	  1.51046	  1.26095	  1.45609	  0.05446	  3.16532	711.03003	 23.20	
  1.700	180.000	  3.16947	  1.19673	  1.55604	  1.37280	  1.33571	  0.05159	  3.16435	711.85999	 23.20	
  3.400	180.000	  3.16248	  1.02231	  1.72085	  1.36040	  1.30840	  0.03698	  3.16410	711.71002	 23.20	
  3.388	-152.325	  3.16165	  1.04965	  1.68862	  1.21496	  1.45719	  0.03890	  3.16411	711.09003	 23.20	
  3.397	-124.529	  3.16007	  1.13731	  1.58420	  1.10481	  1.58010	  0.04084	  3.16170	711.00000	 23.20	
  3.399	-96.763	  3.16129	  1.26998	  1.43947	  1.05647	  1.64601	  0.04106	  3.16347	711.81000	 23.20	
  3.394	-69.283	  3.16424	  1.41700	  1.29452	  1.07084	  1.63463	  0.04496	  3.16353	711.15002	 23.20	
  3.400	-41.398	  3.16749	  1.55063	  1.17632	  1.14877	  1.54632	  0.05085	  3.16530	711.67999	 23.20	
  3.401	-14.021	  3.16842	  1.62781	  1.11258	  1.27101	  1.41383	  0.05577	  3.16481	710.96002	 23.20	
  3.401	 14.021	  3.16692	  1.63584	  1.10816	  1.41280	  1.27585	  0.06009	  3.16273	711.06000	 23.20	
  3.400	 41.398	  3.16791	  1.56565	  1.16149	  1.55317	  1.14734	  0.06179	  3.16346	711.16998	 23.20	
  3.394	 69.283	  3.16796	  1.44224	  1.26931	  1.65049	  1.05809	  0.06071	  3.16380	711.02002	 23.20	
  3.399	 96.763	  3.16790	  1.29684	  1.41356	  1.67847	  1.03175	  0.05321	  3.16490	711.10999	 23.20	
  3.397	124.529	  3.16531	  1.15988	  1.56002	  1.62569	  1.07104	  0.04575	  3.16444	711.04999	 23.20	
  3.388	152.325	  3.16300	  1.05931	  1.67341	  1.50632	  1.17108	  0.04101	  3.16334	711.10999	 23.20	
  5.099	161.165	  3.14529	  0.85916	  1.84957	  1.49914	  1.12316	  0.02042	  3.16464	711.17999	 23.20	
  5.109	142.013	  3.14709	  0.93185	  1.75775	  1.65126	  0.98911	  0.02524	  3.16546	711.10999	 23.20	
  5.095	123.033	  3.15076	  1.04808	  1.62320	  1.76666	  0.89588	  0.03097	  3.16491	711.12000	 23.20	
  5.105	104.191	  3.15271	  1.19197	  1.46631	  1.83150	  0.85043	  0.03629	  3.16497	711.08002	 23.20	
